date	project	metric	before	after	delta	notes
2026-04-29	ai-dev-tools	test_count	44	48	+4	added task.test.js for template categorization
2026-04-29	ai-dev-tools	test_pass_rate	100%	100%	0%	all passing after ESM fix confirmed
2026-04-29	github-creative-project	test_count	36	36	0	all passing, slow startup
2026-05-06T22:06:24+08:00	8ba2aba	test_pass_rate	100% (11/11)	keep	F52-F54: subscriberCount, findKeys, waitForPattern
date	project	action	tests_before	tests_after	pass_rate	result
2026-05-07	my-rpg	extracted BattleCalc.ts + vitest tests	0	13	100%	✅ new test suite created
2026-07-02T19:00:00+08:00	amg	test_count	1521	1599	+78	Cycles 170-172: KGE fix + bi-temporal + Q-value
2026-07-03T19:00:00+08:00	amg	test_count	1599	1652	+53	Cycles 173-178: Lamport+conflict+forget+community
2026-07-04T20:00:00+08:00	amg	test_count	1652	1751	+99	Cycles 179-184: cache+snapshot+memorywire+staleness+RRF+sleep
2026-07-07T20:00:00+08:00	amg	test_count	1751	2150	+399	Cycles 185-200: betweenness fix + 14 centrality + spectral + walk-based
2026-07-09T20:00:00+08:00	amg	test_count	2150	2246	+96	Cycles 201-212: PPR + auto_forget + hybrid RRF + rerank + unified retrieve
2026-07-10T19:00:00+08:00	amg	test_count	2246	2407	+161	Cycles 213-220: Laplacian toolkit + 拓扑五族 + phantom detection + Randic/Harary
2026-07-10T20:00:00+08:00	acs	test_count	2467	2498	+31	Cycle 187: cohort analysis + health forecast
2026-07-11T19:00:00+08:00	amg	test_count	2407	2485	+78	Cycles 221-223: structure-gated PPR + retrieval-failure logging + select_governed + token-budget context
2026-07-11T22:30:00+08:00	amg	test_count	2485	2537	+52	Cycle 224: retrieval_quality_eval IR metrics (+31) + select_governed expansion (+21)
2026-07-11T22:00:00+08:00	cf	test_count	583	613	+30	F42-F45: API route detection + import health
2026-07-11T22:00:00+08:00	atc	test_count	1209	1222	+13	F187-F188: ConcurrencyManager (mapSettled + withRetry)
2026-07-12T00:00:00+08:00	amg	test_count	2537	2568	+31	Cycle 225: szeged_index + gutman_index (edge-partition + degree-distance)
2026-07-12T01:00:00+08:00	acs	test_count	2498	2526	+28	Cycle 188: quality_heatmap + store_health_mutation_impact
date	project	baseline_tests	baseline_pass	after_tests	after_pass	delta_tests	delta_pass	notes
2026-07-12	agent-mesh-network	35	35	64	64	+29	+29	Added: stop idempotency, EventEmitter completeness, all MessageType variants, concurrent cap ops, config partial options, Task edge cases
2026-07-12	edge-agent-runtime	211	211	211	211	0	0	Baseline only (Python, 211 passed, 0.19s)
2026-07-12	edge-ai-agent	42	42	42	42	0	0	Baseline only (Python, 42 passed 1 skipped)
2026-07-12	agent-role-orchestrator	186	186	186	186	0	0	Baseline only (Jest, 15 suites)
2026-07-12	agent-context-analyzer	65	65	65	65	0	0	Baseline only (Jest, 5 suites)
2026-07-12	agent-self-reflection	53	53	53	53	0	0	Baseline only (vitest, 4 files)
2026-07-12T22:00:00+08:00	nano-agent	test_count	329	364	+35	F9-F12: run_batch/summary/validate_args/list_tools_by_prefix
2026-07-12T22:25:00+08:00	amg	test_count	2568	2718	+150	Cycles 226-230: Schultz+Wiener/decision_chain/entropy_filter/subgraph_edge_type/causal_edges
2026-07-12T23:00:00+08:00	amg	test_count	2718	2754	+36	Cycle 231: spread_activation (Collins & Loftus 1975 BFS propagation)
2026-07-13T00:00:00+08:00	amg	test_count	2754	2813	+59	Cycle 232: generalized_randic_index(α) + zagreb_indices (parametric R_α family)
2026-07-13T01:00:00+08:00	acs	test_count	2526	2557	+31	Cycle 189: store_health_alert_config + quality_improvement_tracker (feedback+monitoring layers)
2026-07-14T00:00:00+08:00	amg	test_count	2904→2983	keep	Cycle 238: forgotten_index() + abc_index() + sum_connectivity_index()
2026-07-14T00:00:00+08:00	amg	test_pass_rate	100%	keep	All 2983 passing, 0 regressions, 23.01s
2026-07-13T19:00:00+08:00	amg	test_count	2813	2904	+91	Cycles 233-235: retrieval_quality_eval utilization_rate / temporal_score / crystallize_intents
2026-07-13T20:00:00+08:00	amg	test_count	2904	2983	+79	Cycle 238: forgotten_index + abc_index + sum_connectivity_index (degree-power trio)
2026-07-14T01:00:00+08:00	acs	test_count	2557	2593	+36	Cycle 190: store_health_dashboard + quality_improvement_batch_tracker + alert_history
2026-07-14T21:00:00+08:00	amg	test_count	2983	3128	+145	Cycles 239-242: immutable_store+grep+expand / compact_node 3-level / serialize token-budget / RelationIntegrityChecker
2026-07-14T22:25:00+08:00	amg	test_count	3128	3165	+37	Cycle 243: semantic_speed_gate + selective_filter (RoMem + Context Engineering)
