timestamp	commit	metric	value	status	description
2026-04-29T22:15\t7798c8a\ttest_pass_rate\t6/6 (100%)\tkeep\tF1: search with regex support — -r/--regex flag, 6 test cases, all passing
2026-04-29T22:30\t7ff53d4\ttest_pass_rate\t6/6 (100%)\tkeep\tF4: summary with keyword filtering — optional keyword param, case-insensitive filter, 6 test cases, all passing
2026-04-30T22:15	7f1a3cf	test_pass_rate	22/22 (100%)	keep	F10: JSON output (-j/--json for search/summary/stats) + F3: search export (-o file). 10 new tests. Fixed SIGPIPE from grep|head pipe under pipefail.
2026-05-19T22:30	3a2bf23	test_pass_rate	8/8 (100%)	keep	F11: CSV export (--csv flag for summary) + F15: clean command (--dry-run, --age). 8 test cases, all passing.
2026-05-19T22:45	3a2bf23	test_pass_rate	manual/pass	keep	F7: sessions command — list session files with metadata, JSON support. Manual verification passed.
2026-05-24T22:10	local	test_pass_rate	15/15 (100%)	keep	F12: Markdown export (--md flag for summary/stats) + F8: session detail command (partial match, JSON). 15 tests all passing.
2026-05-25T22:03:51+08:00	8ebf2e6	test_pass_rate	14/14 (100%)	keep	F9 (find sessions by pattern/date) + F13 (grep wrapper) + F14 (tail wrapper). 14 tests all passing.
2026-05-26T22:05	draft	F6_trend_tests	6/6	pass	trend command with sparkline + JSON output
2026-05-26T22:10	draft	F5_summary_types_tests	4/4	pass	summary --types activity classification
2026-05-30T22:10	local	F2_tests	6/6 (100%)	keep	F2: search date range filtering (--from/--to). 6 tests all passing.
2026-05-30T22:15	local	F17_tests	13/13 (100%)	keep	F17: Integration tests with fixture data. 13 tests covering search/summary/today/date/stats.
2026-08-16T23:00+08:00	test_fix	test_scripts	13/13=100%	keep	agent-log: fixed 4 stale test scripts — hardcoded May dates & live-workspace content deps replaced with hermetic fixtures (dynamic dates + OPENCLAW_WORKSPACE override + trap cleanup). integration 13/13, regex/keyword/types all pass.
2026-08-22T22:20+08:00	F18	bench_tests	4/4 pass; 365d corpus: search 1458ms today 10ms summary 126ms stats 809ms	keep	agent-log F18: performance benchmark harness. test/bench.sh generates hermetic synthetic corpus (N days x M lines), times search/today/summary/stats vs thresholds, exits nonzero on failure. +4 bats smoke tests. Last backlog item closed — backlog now 100% done.
2026-08-28T22:07+0800	F19-F20	bats_tests	22→31/+9 (100%, 2× green)	keep	F19 search --count: ranked per-file match counts sorted desc (text/JSON/export); F20 pipe-safe output: ANSI palette + grep --color disabled when stdout not TTY or NO_COLOR set. Side finding: setup_fixture.sh never set OPENCLAW_WORKSPACE so legacy bats search/summary tests rode live workspace data; new test file is hermetic. 31/31 x2.
2026-08-28T22:10+0800	F21	bats_tests	31/31 (100%, 2x green, hermetic)	keep	F21 hermetic test fixtures: setup_fixture.sh now exports OPENCLAW_WORKSPACE + fake HOME so agent-log.sh derived MEMORY_DIR/SESSIONS_DIR hit fixture data (previously decorative: re-derived from live WORKSPACE, legacy tests passed on real workspace EventBus collisions). Dynamic dates D0/D1/D2 replace hardcoded May dates so summary/trend windows include fixtures. Strengthened 2 vacuous assertions (summary JSON total_files:3; search output contains fixture content). 31/31 x2.
2026-08-29T22:40+08:00	F22-F23	bats_tests	31→43/+12 (100%, x2 green)	keep	F22 search -C N: context lines around matches (default 1 preserved, non-neg-int validated, display+export); F23 hot [N]: top-K terms over memory logs w/ --from/--to window (tokenize lowercase [a-z][a-z0-9_-]{2,}, stopword grep -vxF, uniq -c sort -rn; text+JSON). 12 new bats tests incl. controlled-corpus fixture (kubernetes=5/docker=3, no ties). 1 test-design fix: --to expectation initially contradicted established semantics (undated files always in scope, same as search date filter). 43/43 x2 green.
2026-08-29T22:15+08:00	F24	bats_tests	43→49/+6 (100%, x2 green)	keep	F24 cron --job: case-insensitive filter over openclaw cron list; dispatch bug found (bare cmd_cron call never passed "$@"); bats lesson: [[ != *"lit"* ]] glob-assert unreliable → [[ ! =~ ]]
2026-09-08T03:xx+08:00	71b741e	F25-F26	bats_tests	49→69/+20 (100%, x2 green, 2 red-verified)	keep	F25 bugfix ×2: (1) cmd_grep `grep|head -50 || echo "(no matches)"` under pipefail — >50 matches SIGPIPE'd grep (141) → false "(no matches)" printed AFTER 50 real results (display-layer false-claim family; 0-match case only worked by accident of pipefail); fix = capture var + `|| true` + explicit empty check, TTY color kept. (2) cmd_date `! -newermt "$d 23:59:59"` dropped sessions modified in final second (23:59:59.001-.999); fix = next-day 00:00:00 upper bound. F26: first coverage for sessions/session/find/tail/trend (14 characterization tests, all were 0-covered since F21). Note: classify_activity `((x++))` set-e landmine exists but masked by && -call-context (bash -e-ignored rule) — fragile, flagged not changed.
